traces, validity
ovtzpwdamwjucbg,0.
uavdorylrhsiogx,0.
yydulahpifstrkw,1.
ydxyystisoqgjcu,1.
uollegtmttzowgl,0.
umokgdhjrakvtif,0.
uhfaslabicisnfn,0.
bkequyezsaiqyyu,1.
uilyooujkkhefuf,1.
ahbyetemcshvsqu,0.
knkwsdqqtqmfhdz,0.
pbhzkqevsxyzbwh,0.
flchzjfiauqwsof,1.
nxisqjvdycbbmrt,1.
kclevytgpcayxev,1.
xwfphodvkdcnmou,0.
noornfbnomlssen,1.
vgcfuyksnzcebwd,1.
lccaoztblkukbab,1.
jysfphnuhlarhag,1.
qdyuyqpfesjkvey,0.
tgtmimcccgyjcga,1.
fkqgdfkfucouowx,0.
bbjlvsscozxsaje,1.
mlvjjqfimblafiy,0.
piwotjxyjytwhwh,0.
kthfxktepbajyzm,1.
oqlovccvxmxfykb,1.
qntybsnemirqzpe,0.
rchnzxptlecusgw,0.
luolkcgcfaqmxov,0.
erfaeilewjqhpds,1.
lrgrdscglwydhvs,0.
cyorjdewlkrqehf,0.
dpxxyufeomxklot,1.
rtxmwthzqnvqvtl,0.
kzlfpytzochxvfq,1.
qtaeaxdmanvnglx,1.
owvgsruqqtejvcs,1.
oavgdksmptglxdj,1.
wcifjdyqlfolfiw,0.
uliyuynwfrtkfzg,0.
jyzzhysjqbcbfsx,0.
hacbnzdnswovhbo,0.
gwhwcjnwlciyknw,0.
biaqqljbismswhj,0.
blcxtffruyqsegi,0.
fuuipbwzyymhcqn,0.
oielmpznmkqceif,1.
sydpglpminwewpt,1.
tdmnbdhpwkzorbv,0.
ghpkgorcrqzmpbh,0.
vetucdesedomnll,0.
wormsdfhldagowy,1.
zbtwjnygbibrpzc,1.
xkdyuknawenrrff,0.
ogmuegwzkeuitpc,1.
wiffywilhtixtuo,1.
nggjhqnfxwykvqh,0.
smytesnlfcqozyc,1.
pfqgporfiypufng,0.
feajwhmuffnyrrw,0.
jjvgbywyhkbocea,0.
asmrimhdesyadli,0.
peknyccwetrfuxo,1.
lvdwufgwnclfymq,1.
iowawojkoagvbgv,0.
jtxebjhbgtuvpwq,0.
zhbvstaztdgkffm,1.
llzjjjzfqugefej,0.
fmwojzytlzdhclv,1.
cgvmpalaamyoowp,1.
qfabiitxiaemrsm,1.
luyoudszkwoyglp,0.
vnexfquutxcidzc,1.
pglpsmgitldnpvf,1.
nbrjkgfzbsbuhgq,1.
mxteytumxvjpnjw,0.
ftnjjwmvkwbxmxp,1.
qecbswvtdqxmngw,1.
wblksyfosfnusrf,0.
wyjfjaeoculibka,1.
crhuzblchjtmqkk,1.
bxpwbxzqqmicttt,0.
fzkfrqewhjzdrlg,0.
nzrwgqcxghdxfog,0.
dwgwbaeootjzopg,1.
jazvvfktcsasfuj,0.
vymkdxlsnulfiok,0.
oifzanwqbgimoql,0.
kqohhnjeqnfzlmc,1.
mniepaeuurmvxzf,1.
bsgezapyylgzrbd,0.
obhfxltfemliijp,0.
hzpswhxozfucoqy,1.
